Projekt;Ticketnummer;Datum;Projektticket;Mitarbeiter;Gebucht (in PT);Fakturierbar (in PT);Firma;Abrechnungsstatus;Abrechenbar
Wolfsblut GmbH / Veterinary Research;4231054;14.02.2024;Redesigned landing page for better conversion rates.;Liam Scholz;0.10336;0.1477;Wolfsblut GmbH;abgerechnet;01:19
Hinterland GmbH / Infrastructure;1614226;15.02.2024;Automated deployment processes for CI/CD pipeline.;Lea Schneider;0.14405;0.17624;Hinterland GmbH;abgerechnet;01:22
Bergwerk AG / Sustainable Resources;5349619;09.02.2024;Developed new analytics dashboard for insights.;Mia Koch;0.0314;0.02562;Bergwerk AG;abgerechnet;00:08
Morgenstern AG / Green Initiatives;4162243;28.02.2024;Fixed compatibility issues with legacy systems.;Emma Kruger;0.03612;0.05703;Morgenstern AG;abgerechnet;00:31
Wolkenbruch AG / IT Infrastructure;5727982;19.02.2024;Improved security protocols to protect data.;Jan Kohler;0.02589;0.02613;Wolkenbruch AG;abgerechnet;00:02
Wunderbar GmbH / Marketing Overhaul;3876464;16.02.2024;Automated deployment processes for CI/CD pipeline.;Lisa Schulz;0.07257;0.05283;Wunderbar GmbH;abgerechnet;00:49
Kleeblatt AG / Sustainability;9645614;06.02.2024;Automated deployment processes for CI/CD pipeline.;Tim Neumann;0.45507;0.66307;Kleeblatt AG;abgerechnet;05:44
Wunderbar GmbH / Customer Engagement;1019886;29.02.2024;Implemented caching mechanism for efficiency.;Lena Krause;0.09343;0.10143;Wunderbar GmbH;abgerechnet;00:57
Seeblick GmbH / Eco-Tourism;9678088;27.02.2024;Fixed compatibility issues with legacy systems.;Laura Schwarz;0.13185;0.12429;Seeblick GmbH;abgerechnet;00:45
Schattenspringer AG / Film Production;6523650;09.02.2024;Refactored code for better maintainability.;Max Mueller;0.10448;0;Schattenspringer AG;abgerechnet;00:28
Seeblick GmbH / Eco-Tourism;5319984;27.02.2024;Updated UI for a more modern look.;Lukas Fischer;0.02869;0.03111;Seeblick GmbH;abgerechnet;00:41
Morgenstern AG / Solar Energy;8325919;06.02.2024;Integrated third-party API for extended functionality.;Noah Schmid;0.08165;0.09281;Morgenstern AG;abgerechnet;01:12
Himmelsstürmer KG / Pilot Programs;3140072;27.02.2024;Conducted performance testing and optimizations.;Max Mueller;0.03305;0.03239;Himmelsstürmer KG;abgerechnet;00:39
Kleeblatt AG / Crop Management;4574307;22.02.2024;Integrated third-party API for extended functionality.;Hannah Boehm;0.10309;0.11248;Kleeblatt AG;abgerechnet;00:37
Blitz & Co KG / Lightning Protection;4444217;27.02.2024;Developed new analytics dashboard for insights.;Paul Bauer;0.0368;0.05314;Blitz & Co KG;abgerechnet;00:02
Bergwerk AG / Safety Enhancement;5237458;13.02.2024;Improved error handling and logging mechanisms.;Liam Scholz;0.17819;0.14073;Bergwerk AG;abgerechnet;01:32
Wolkenbruch AG / IT Infrastructure;5808590;22.02.2024;Automated deployment processes for CI/CD pipeline.;Noah Schmid;0.03116;0.03285;Wolkenbruch AG;abgerechnet;00:04
Wunderbar GmbH / Brand Innovation;7926997;19.02.2024;Improved security protocols to protect data.;Emma Kruger;0.08599;0.23511;Wunderbar GmbH;abgerechnet;01:37
Weitblick KG / Long-Term Investments;9063763;27.02.2024;Enhanced search functionality with advanced filters.;Tom Braun;0.35466;0;Weitblick KG;abgerechnet;00:29
Eisberg GmbH / Cold Chain Solutions;4589818;09.02.2024;Optimized database queries for faster load times.;Lukas Fischer;0.02611;0.02755;Eisberg GmbH;geprueft;00:27
Seeblick GmbH / Hotel Management;4445897;09.02.2024;Implemented caching mechanism for efficiency.;David Meier;0.03567;0.03171;Seeblick GmbH;geprueft;00:10
Drachenfels GmbH / Fantasy Game Development;6200748;26.02.2024;Redesigned landing page for better conversion rates.;Laura Schwarz;0.05115;0.14293;Drachenfels GmbH;abgerechnet;01:44
Drachenfels GmbH / Storytelling;2666840;27.02.2024;Upgraded server infrastructure for scalability.;Julia Weber;0.02628;0.02799;Drachenfels GmbH;abgerechnet;00:45
Eisberg GmbH / Logistics Optimization;1052871;26.02.2024;Optimized database queries for faster load times.;Mia Koch;0.36922;0.46237;Eisberg GmbH;abgerechnet;03:13
Himmelsstürmer KG / Aircraft Maintenance;1250515;20.02.2024;Upgraded server infrastructure for scalability.;Emma Hoffmann;0.21204;0.23183;Himmelsstürmer KG;abgerechnet;02:18
Eisberg GmbH / Cold Chain Solutions;2030236;21.02.2024;Improved security protocols to protect data.;Laura Schwarz;0.03259;0.02727;Eisberg GmbH;abgerechnet;00:26
Sturm & Partner / Market Analysis;6322040;06.02.2024;Enhanced mobile responsiveness of the website.;Jan Kohler;0.02948;0.05539;Sturm & Partner;abgerechnet;00:35
Adlerflug GmbH / Flight Dynamics;3616877;28.02.2024;Refactored code for better maintainability.;Sara Brandt;0.4138;0.76338;Adlerflug GmbH;abgerechnet;07:03
Feuersturm GmbH / Fire Safety;4252196;08.02.2024;Improved security protocols to protect data.;David Meier;0.02512;0.02792;Feuersturm GmbH;abgerechnet;00:32
Kleeblatt AG / Crop Management;7779237;13.02.2024;Enhanced mobile responsiveness of the website.;Ben Richter;0.03073;0.03212;Kleeblatt AG;abgerechnet;00:10
Blitz & Co KG / Smart Grid;5323884;22.02.2024;Enhanced mobile responsiveness of the website.;Lara Zimmer;0.026;0.03227;Blitz & Co KG;abgerechnet;00:43
Seeblick GmbH / Hotel Management;5793817;16.02.2024;Integrated third-party API for extended functionality.;Tim Neumann;0.22805;0.23322;Seeblick GmbH;abgerechnet;01:59
Blitz & Co KG / Lightning Protection;4064054;27.02.2024;Improved security protocols to protect data.;Lena Krause;0.0281;0;Blitz & Co KG;abgerechnet;00:25
Mondschein KG / Innovation;5823182;21.02.2024;Implemented user authentication system.;Emma Hoffmann;0.06761;0.07429;Mondschein KG;abgerechnet;00:53
Hinterland GmbH / Infrastructure;6006054;07.02.2024;Optimized database queries for faster load times.;Julia Weber;0.05324;0.13392;Hinterland GmbH;abgerechnet;00:39
Hinterland GmbH / Infrastructure;4224826;19.02.2024;Fixed compatibility issues with legacy systems.;Tim Neumann;0.11811;0.18082;Hinterland GmbH;abgerechnet;01:38
Kleeblatt AG / Crop Management;5033654;01.02.2024;Updated UI for a more modern look.;Ben Richter;0.13574;0.12981;Kleeblatt AG;abgerechnet;01:42
Eisberg GmbH / Cold Chain Solutions;9933143;27.02.2024;Integrated third-party API for extended functionality.;Tom Braun;0.06454;0;Eisberg GmbH;abgerechnet;00:30
Lichtblick AG / Renewable Energy;5572461;12.02.2024;Integrated third-party API for extended functionality.;Jan Kohler;0.05053;0.06807;Lichtblick AG;abgerechnet;00:54
Wasserfall AG / Hydropower Development;6599748;22.02.2024;Improved error handling and logging mechanisms.;Noah Schmid;0.33727;0.33533;Wasserfall AG;abgerechnet;02:27
Fels & Stein GmbH / Rock Mechanics;2412811;13.02.2024;Enhanced mobile responsiveness of the website.;Finn Lehmann;0.1762;0.26026;Fels & Stein GmbH;abgerechnet;01:48
Fels & Stein GmbH / Mineral Extraction;2886822;01.02.2024;Developed new analytics dashboard for insights.;Clara Klein;0.07442;0.06928;Fels & Stein GmbH;abgerechnet;00:51
Feuersturm GmbH / Equipment Design;7065332;09.02.2024;Added localization support for multiple languages.;Olivia Berg;0.02583;0;Feuersturm GmbH;abgerechnet;00:26
Eisberg GmbH / Supply Chain;2627934;15.02.2024;Implemented user authentication system.;Emma Hoffmann;0.03517;0.06084;Eisberg GmbH;abgerechnet;00:25
Morgenstern AG / Solar Energy;6362136;14.02.2024;Fixed compatibility issues with legacy systems.;Anna Becker;0.07798;0.29759;Morgenstern AG;abgerechnet;01:54
Glücksklee GmbH / Biotech Research;9746552;14.02.2024;Conducted performance testing and optimizations.;Julia Weber;0.10465;0;Glücksklee GmbH;abgerechnet;00:25
Weitblick KG / Retirement Planning;4845382;06.02.2024;Refactored code for better maintainability.;Julia Weber;0.03096;0;Weitblick KG;abgerechnet;00:26
Sandsturm AG / Desert Farming;4112029;20.02.2024;Redesigned landing page for better conversion rates.;David Meier;0.33281;0.23994;Sandsturm AG;abgerechnet;01:47
Sandsturm AG / Desert Farming;7783250;15.02.2024;Integrated third-party API for extended functionality.;Niklas Hahn;0.26576;0.23084;Sandsturm AG;geprueft;01:59
Sturm & Partner / Risk Management;3578402;02.02.2024;Refactored code for better maintainability.;Jonas Wagner;0.02786;0.0282;Sturm & Partner;abgerechnet;00:20
Blitz & Co KG / Electrical Systems;4746173;06.02.2024;Integrated third-party API for extended functionality.;Simon Seidel;0.02678;0.02851;Blitz & Co KG;abgerechnet;00:26
Bergwerk AG / Safety Enhancement;3990824;01.02.2024;Developed prototype for upcoming product launch.;Sophie Schmidt;0.10864;0.0764;Bergwerk AG;geprueft;00:39
Bergwerk AG / Safety Enhancement;6334527;02.02.2024;Upgraded server infrastructure for scalability.;Jan Kohler;0.02942;0.03224;Bergwerk AG;abgerechnet;00:30
Morgenstern AG / Eco-friendly Projects;4769470;15.02.2024;Enhanced mobile responsiveness of the website.;Lukas Fischer;0.12529;0.36388;Morgenstern AG;abgerechnet;02:10
Feuersturm GmbH / Emergency Planning;3730241;19.02.2024;Developed prototype for upcoming product launch.;Julia Weber;0.70488;1.59132;Feuersturm GmbH;abgerechnet;12:04
Adlerflug GmbH / Flight Dynamics;4879343;06.02.2024;Implemented user authentication system.;Julia Weber;0.12512;0.11432;Adlerflug GmbH;abgerechnet;00:47
Bergwerk AG / Sustainable Resources;8738625;07.02.2024;Resolved bug in the payment module.;Julia Weber;0.02722;0.02739;Bergwerk AG;abgerechnet;00:06
Mondschein KG / Optical Engineering;4433684;13.02.2024;Added a new feature to improve user experience.;Emma Kruger;0.10248;0;Mondschein KG;abgerechnet;00:13
Wasserfall AG / Water Conservation;4230825;19.02.2024;Implemented caching mechanism for efficiency.;Lena Krause;0.03678;0.05887;Wasserfall AG;abgerechnet;00:52
Weitblick KG / Retirement Planning;5535773;15.02.2024;Added localization support for multiple languages.;Max Mueller;0;0.02576;Weitblick KG;abgerechnet;00:03
Himmelsstürmer KG / Aircraft Maintenance;2009616;19.02.2024;Enhanced mobile responsiveness of the website.;Anna Becker;0.0291;0.06032;Himmelsstürmer KG;abgerechnet;00:03
Sandsturm AG / Desert Farming;6085741;13.02.2024;Upgraded server infrastructure for scalability.;Sophie Schmidt;0.23833;0.52788;Sandsturm AG;abgerechnet;04:31
Wunderbar GmbH / Customer Engagement;3403709;15.02.2024;Refactored code for better maintainability.;Simon Seidel;0.20447;0.18669;Wunderbar GmbH;abgerechnet;01:52
Kleeblatt AG / Agriculture Innovation;2565616;07.02.2024;Fixed compatibility issues with legacy systems.;Lisa Schulz;0.60832;0.54228;Kleeblatt AG;abgerechnet;03:55
Wolfsblut GmbH / Wildlife Conservation;5402478;05.02.2024;Integrated third-party API for extended functionality.;Felix Voigt;0.35674;0.26377;Wolfsblut GmbH;abgerechnet;02:38
Wildfang AG / Product Innovation;1698825;12.02.2024;Improved security protocols to protect data.;Niklas Hahn;0.15482;0.1653;Wildfang AG;abgerechnet;01:09
Sternschuppen AG / Space Exploration;5231009;06.02.2024;Integrated third-party API for extended functionality.;Liam Scholz;0.06391;0.05246;Sternschuppen AG;abgerechnet;00:42
Fels & Stein GmbH / Rock Mechanics;4151799;29.02.2024;Enhanced mobile responsiveness of the website.;Lukas Fischer;0.03155;0.06628;Fels & Stein GmbH;abgerechnet;00:15
Wunderbar GmbH / Customer Engagement;2325617;02.02.2024;Implemented caching mechanism for efficiency.;Felix Voigt;0.21521;0.28067;Wunderbar GmbH;abgerechnet;02:22
Sturm & Partner / Financial Strategy;3581340;15.02.2024;Improved error handling and logging mechanisms.;Hannah Boehm;0.06622;0.0552;Sturm & Partner;abgerechnet;00:44
Wasserfall AG / Hydropower Development;5446885;01.02.2024;Upgraded server infrastructure for scalability.;Liam Scholz;0.66996;0.58645;Wasserfall AG;abgerechnet;05:04
Sonnenstrahl KG / Energy Efficiency;1398037;22.02.2024;Added a new feature to improve user experience.;Tim Neumann;0.90448;1.39351;Sonnenstrahl KG;abgerechnet;13:45
Adlerflug GmbH / Aerospace Engineering;8836928;28.02.2024;Improved error handling and logging mechanisms.;Lara Zimmer;0.45497;0.75325;Adlerflug GmbH;abgerechnet;06:56
Hinterland GmbH / Community Building;4290924;16.02.2024;Developed new analytics dashboard for insights.;Lisa Schulz;0.51778;0.67559;Hinterland GmbH;abgerechnet;04:50
Silberfuchs GmbH / AI Implementation;9766885;13.02.2024;Automated deployment processes for CI/CD pipeline.;Liam Scholz;0.02976;0.034;Silberfuchs GmbH;abgerechnet;00:13
Silberfuchs GmbH / AI Implementation;2442799;26.02.2024;Added localization support for multiple languages.;David Meier;0.12987;0.1029;Silberfuchs GmbH;abgerechnet;01:23
Silberfuchs GmbH / Cybersecurity;5210694;22.02.2024;Implemented caching mechanism for efficiency.;Paul Bauer;0.19719;0.42612;Silberfuchs GmbH;abgerechnet;03:08
Eisberg GmbH / Cold Chain Solutions;2601738;08.02.2024;Developed new analytics dashboard for insights.;Emma Hoffmann;0.20486;0.3877;Eisberg GmbH;abgerechnet;03:02
Eisberg GmbH / Cold Chain Solutions;9850463;28.02.2024;Added localization support for multiple languages.;Emma Hoffmann;0.05169;0.12929;Eisberg GmbH;abgerechnet;01:29
Wasserfall AG / Hydropower Development;5870900;12.02.2024;Updated UI for a more modern look.;Tim Neumann;0.02522;0.03083;Wasserfall AG;abgerechnet;00:02
Bergwerk AG / Mining Expansion;9452305;15.02.2024;Redesigned landing page for better conversion rates.;Liam Scholz;0.07369;0.07016;Bergwerk AG;abgerechnet;00:50
Lichtblick AG / Solar Panel Tech;6998928;28.02.2024;Developed prototype for upcoming product launch.;Finn Lehmann;0.06123;0.06685;Lichtblick AG;abgerechnet;00:20
Sturm & Partner / Risk Management;8983926;02.02.2024;Improved error handling and logging mechanisms.;Tom Braun;0.07731;0.08372;Sturm & Partner;abgerechnet;00:59
Sandsturm AG / Desert Farming;7772741;29.02.2024;Fixed compatibility issues with legacy systems.;Emma Hoffmann;0.34143;0.31327;Sandsturm AG;abgerechnet;03:00
Sonnenstrahl KG / Sustainable Solutions;5552545;05.02.2024;Refactored code for better maintainability.;Max Mueller;0.14133;0.1069;Sonnenstrahl KG;abgerechnet;01:04
Nordlicht KG / Climate Research;9109263;19.02.2024;Integrated third-party API for extended functionality.;Lea Schneider;0.06012;0.05935;Nordlicht KG;abgerechnet;00:41
Adlerflug GmbH / Aerospace Engineering;9126008;07.02.2024;Automated deployment processes for CI/CD pipeline.;Sophie Schmidt;0.19267;0.16462;Adlerflug GmbH;abgerechnet;01:23
Blitz & Co KG / Electrical Systems;2979111;20.02.2024;Redesigned landing page for better conversion rates.;Felix Voigt;0.08622;0.10409;Blitz & Co KG;abgerechnet;01:00
Sandsturm AG / Climate Adaptation;3306104;16.02.2024;Refactored code for better maintainability.;Paul Bauer;0.05133;0.053;Sandsturm AG;abgerechnet;00:51
Mondschein KG / Optical Engineering;3034862;27.02.2024;Implemented user authentication system.;Finn Lehmann;0.09473;0;Mondschein KG;abgerechnet;00:30
Wildfang AG / Outdoor Equipment;2396406;09.02.2024;Redesigned landing page for better conversion rates.;Emma Kruger;0.28231;0.35714;Wildfang AG;abgerechnet;02:04
Sandsturm AG / Water Scarcity;3277317;21.02.2024;Optimized database queries for faster load times.;Laura Schwarz;0.06596;0.07331;Sandsturm AG;abgerechnet;00:32
Wasserfall AG / Hydropower Development;4786883;16.02.2024;Automated deployment processes for CI/CD pipeline.;Mia Koch;0.12567;0.18072;Wasserfall AG;abgerechnet;01:05
Morgenstern AG / Green Initiatives;8789410;01.02.2024;Added localization support for multiple languages.;Liam Scholz;0.02799;0.0275;Morgenstern AG;abgerechnet;00:38
Wunderbar GmbH / Brand Innovation;7578884;07.02.2024;Integrated third-party API for extended functionality.;Emma Hoffmann;0.02665;0.03451;Wunderbar GmbH;abgerechnet;00:02
Bergwerk AG / Safety Enhancement;4960424;26.02.2024;Integrated third-party API for extended functionality.;Mia Koch;0.05182;0.07229;Bergwerk AG;abgerechnet;00:54
Drachenfels GmbH / Fantasy Game Development;5655224;06.02.2024;Resolved bug in the payment module.;Lea Schneider;0.06749;0.064;Drachenfels GmbH;abgerechnet;00:10
Glücksklee GmbH / Pharmaceutical Development;7346407;08.02.2024;Updated UI for a more modern look.;Julia Weber;0.08171;0.09786;Glücksklee GmbH;abgerechnet;01:06
Sternschuppen AG / Astrophysics;8197881;07.02.2024;Developed new analytics dashboard for insights.;Jan Kohler;0.02524;0.02746;Sternschuppen AG;abgerechnet;00:30
Funkeln & Glanz KG / Retail Expansion;9726341;19.02.2024;Resolved bug in the payment module.;Tim Neumann;0.05121;0;Funkeln & Glanz KG;abgerechnet;00:28
Morgenstern AG / Eco-friendly Projects;3639271;12.02.2024;Conducted performance testing and optimizations.;Clara Klein;0.03245;0.03403;Morgenstern AG;abgerechnet;00:33
Mondschein KG / Optical Engineering;3675896;01.02.2024;Improved error handling and logging mechanisms.;Olivia Berg;0.31186;0.6816;Mondschein KG;abgerechnet;06:38
Glücksklee GmbH / Biotech Research;7983097;13.02.2024;Upgraded server infrastructure for scalability.;David Meier;0.20142;0.21025;Glücksklee GmbH;abgerechnet;01:24
Adlerflug GmbH / Flight Dynamics;6719531;08.02.2024;Implemented caching mechanism for efficiency.;Lukas Fischer;0.06773;0.0545;Adlerflug GmbH;abgerechnet;00:12
Wunderbar GmbH / Brand Innovation;6338648;15.02.2024;Upgraded server infrastructure for scalability.;Lena Krause;0.03377;0.02828;Wunderbar GmbH;abgerechnet;00:37
Lichtblick AG / Environmental Impact;7011523;29.02.2024;Upgraded server infrastructure for scalability.;Simon Seidel;0.05922;0.05625;Lichtblick AG;abgerechnet;00:38
Adlerflug GmbH / Flight Dynamics;4503405;29.02.2024;Improved error handling and logging mechanisms.;Emma Hoffmann;0.05643;0;Adlerflug GmbH;abgerechnet;00:16
Wolfsblut GmbH / Zoology;3160491;27.02.2024;Implemented caching mechanism for efficiency.;David Meier;0.07366;0.17814;Wolfsblut GmbH;abgerechnet;00:49
Blitz & Co KG / Lightning Protection;8144041;05.02.2024;Developed new analytics dashboard for insights.;Tom Braun;0.03519;0.03661;Blitz & Co KG;abgerechnet;00:30
Wasserfall AG / Eco-friendly Solutions;5251982;08.02.2024;Added localization support for multiple languages.;Anna Becker;0.05501;0.05844;Wasserfall AG;abgerechnet;00:53
Sonnenstrahl KG / Lighting Design;6209177;14.02.2024;Optimized database queries for faster load times.;Finn Lehmann;0.0878;0.20236;Sonnenstrahl KG;abgerechnet;01:35
Blitz & Co KG / Lightning Protection;1138042;14.02.2024;Automated deployment processes for CI/CD pipeline.;Emma Kruger;0.2072;0;Blitz & Co KG;abgerechnet;00:08
Silberfuchs GmbH / Cybersecurity;2614398;29.02.2024;Updated UI for a more modern look.;Jonas Wagner;0.02614;0.03538;Silberfuchs GmbH;abgerechnet;00:20
Wolkenbruch AG / Data Security;2057284;13.02.2024;Improved error handling and logging mechanisms.;Lisa Schulz;0.03363;0.05626;Wolkenbruch AG;abgerechnet;00:22
Nordlicht KG / Renewable Energy;3465276;15.02.2024;Improved security protocols to protect data.;Liam Scholz;0.03178;0;Nordlicht KG;abgerechnet;00:17
Blitz & Co KG / Lightning Protection;7514052;27.02.2024;Updated UI for a more modern look.;Felix Voigt;0.0657;0.17443;Blitz & Co KG;abgerechnet;01:21
Wildfang AG / Adventure Gear;6663230;22.02.2024;Improved security protocols to protect data.;Lisa Schulz;0.02926;0.03714;Wildfang AG;abgerechnet;00:09
Eisberg GmbH / Cold Chain Solutions;6246138;21.02.2024;Resolved bug in the payment module.;Tim Neumann;0.12875;0.36377;Eisberg GmbH;abgerechnet;02:06
Morgenstern AG / Eco-friendly Projects;9798107;01.02.2024;Conducted performance testing and optimizations.;Tom Braun;0.02622;0;Morgenstern AG;abgerechnet;00:26
Weitblick KG / Wealth Management;1717292;28.02.2024;Optimized database queries for faster load times.;Emma Kruger;0.02544;0.02661;Weitblick KG;abgerechnet;00:27
Sturm & Partner / Market Analysis;5006418;15.02.2024;Upgraded server infrastructure for scalability.;Sophie Schmidt;0.14316;0.25836;Sturm & Partner;abgerechnet;02:44
Wasserfall AG / Water Conservation;6455056;29.02.2024;Added localization support for multiple languages.;Paul Bauer;0.0564;0.05024;Wasserfall AG;abgerechnet;00:46
Funkeln & Glanz KG / Luxury Goods;5812883;13.02.2024;Integrated third-party API for extended functionality.;Clara Klein;0.06026;0.07236;Funkeln & Glanz KG;geprueft;00:24
Drachenfels GmbH / Virtual Reality;4342635;22.02.2024;Updated UI for a more modern look.;Mia Koch;0.03518;0.07173;Drachenfels GmbH;abgerechnet;00:17
Lichtblick AG / Renewable Energy;5861349;27.02.2024;Conducted performance testing and optimizations.;Laura Schwarz;0.03211;0.02628;Lichtblick AG;abgerechnet;00:14
Drachenfels GmbH / Storytelling;9897612;07.02.2024;Developed prototype for upcoming product launch.;Clara Klein;0.22315;0;Drachenfels GmbH;abgerechnet;00:14
Glücksklee GmbH / Health Solutions;3674578;20.02.2024;Redesigned landing page for better conversion rates.;Julia Weber;0.03688;0.03549;Glücksklee GmbH;abgerechnet;00:27
Blitz & Co KG / Smart Grid;5355345;23.02.2024;Enhanced mobile responsiveness of the website.;David Meier;0.1555;0.35889;Blitz & Co KG;abgerechnet;02:33
Hinterland GmbH / Rural Development;9321844;21.02.2024;Enhanced mobile responsiveness of the website.;Tom Braun;0.05836;0;Hinterland GmbH;abgerechnet;00:23
Fels & Stein GmbH / Rock Mechanics;1403081;06.02.2024;Developed new analytics dashboard for insights.;Lukas Fischer;0.09064;0.08645;Fels & Stein GmbH;abgerechnet;01:07
Drachenfels GmbH / Virtual Reality;4361142;15.02.2024;Conducted performance testing and optimizations.;Lukas Fischer;0.03196;0.05793;Drachenfels GmbH;abgerechnet;00:28
Schattenspringer AG / Film Production;2006391;15.02.2024;Automated deployment processes for CI/CD pipeline.;Laura Schwarz;0.03392;0.0722;Schattenspringer AG;abgerechnet;00:33
Sturm & Partner / Financial Strategy;7229184;02.02.2024;Optimized database queries for faster load times.;Clara Klein;0.20531;0.21015;Sturm & Partner;abgerechnet;01:53
Hinterland GmbH / Infrastructure;5869691;20.02.2024;Upgraded server infrastructure for scalability.;Ben Richter;0.0661;0.17603;Hinterland GmbH;abgerechnet;01:13
Fels & Stein GmbH / Rock Mechanics;5738961;09.02.2024;Added a new feature to improve user experience.;Felix Voigt;0.1527;0.15609;Fels & Stein GmbH;geprueft;00:59
Kleeblatt AG / Crop Management;2819518;14.02.2024;Optimized database queries for faster load times.;Paul Bauer;0.03338;0.02953;Kleeblatt AG;abgerechnet;00:11
Hinterland GmbH / Infrastructure;1304923;16.02.2024;Upgraded server infrastructure for scalability.;Lukas Fischer;0.03082;0.03037;Hinterland GmbH;abgerechnet;00:04
Sternschuppen AG / Space Exploration;6759077;28.02.2024;Improved security protocols to protect data.;Paul Bauer;0.09974;0.22495;Sternschuppen AG;abgerechnet;01:21
Glücksklee GmbH / Health Solutions;5208589;13.02.2024;Automated deployment processes for CI/CD pipeline.;Sophie Schmidt;0.16011;0.19456;Glücksklee GmbH;abgerechnet;01:22
Glücksklee GmbH / Biotech Research;1929573;02.02.2024;Improved error handling and logging mechanisms.;Julia Weber;0.0643;0.06093;Glücksklee GmbH;geprueft;00:46
Drachenfels GmbH / Storytelling;7814453;16.02.2024;Fixed compatibility issues with legacy systems.;Max Mueller;0.18661;0.23183;Drachenfels GmbH;abgerechnet;01:49
Eisberg GmbH / Cold Chain Solutions;2209612;13.02.2024;Automated deployment processes for CI/CD pipeline.;Finn Lehmann;0.06902;0;Eisberg GmbH;abgerechnet;00:16
Fels & Stein GmbH / Mineral Extraction;7446182;28.02.2024;Automated deployment processes for CI/CD pipeline.;Tom Braun;0.02982;0.03509;Fels & Stein GmbH;abgerechnet;00:28
Kieselstein GmbH / Urban Planning;8546468;14.02.2024;Automated deployment processes for CI/CD pipeline.;Emma Hoffmann;0.075;0.06991;Kieselstein GmbH;abgerechnet;00:35
Wunderbar GmbH / Marketing Overhaul;1040073;27.02.2024;Added localization support for multiple languages.;Finn Lehmann;0.03417;0.034;Wunderbar GmbH;abgerechnet;00:33
Wasserfall AG / Hydropower Development;8160459;07.02.2024;Added localization support for multiple languages.;Max Mueller;0.03143;0.02922;Wasserfall AG;abgerechnet;00:38
Sandsturm AG / Water Scarcity;8160262;29.02.2024;Improved error handling and logging mechanisms.;Liam Scholz;0.05405;0.12807;Sandsturm AG;abgerechnet;01:17
Sonnenstrahl KG / Lighting Design;1719852;19.02.2024;Enhanced search functionality with advanced filters.;Finn Lehmann;0.18742;0;Sonnenstrahl KG;abgerechnet;00:10
Feuersturm GmbH / Fire Safety;9462419;21.02.2024;Redesigned landing page for better conversion rates.;Julia Weber;0.91437;1.9355;Feuersturm GmbH;abgerechnet;15:13
Sonnenstrahl KG / Lighting Design;3668877;21.02.2024;Added a new feature to improve user experience.;Max Mueller;0.03013;0.03077;Sonnenstrahl KG;abgerechnet;00:22
Sonnenstrahl KG / Sustainable Solutions;5346318;02.02.2024;Enhanced mobile responsiveness of the website.;Emma Hoffmann;0.03686;0;Sonnenstrahl KG;abgerechnet;00:01
Adlerflug GmbH / Aerospace Engineering;7350948;06.02.2024;Refactored code for better maintainability.;Lea Schneider;0.06654;0.05452;Adlerflug GmbH;abgerechnet;01:00
Seeblick GmbH / Tourism Development;7602417;22.02.2024;Developed prototype for upcoming product launch.;Tim Neumann;0.02717;0;Seeblick GmbH;abgerechnet;00:05
Schattenspringer AG / Film Production;3116238;12.02.2024;Implemented caching mechanism for efficiency.;Tim Neumann;0.02971;0.07092;Schattenspringer AG;abgerechnet;00:41
Sandsturm AG / Desert Farming;6081204;28.02.2024;Optimized database queries for faster load times.;Felix Voigt;0.03676;0.02842;Sandsturm AG;abgerechnet;00:40
Funkeln & Glanz KG / Luxury Goods;7997443;21.02.2024;Improved security protocols to protect data.;Laura Schwarz;0.31763;0.32512;Funkeln & Glanz KG;abgerechnet;03:05
Schattenspringer AG / Entertainment Ventures;9294068;19.02.2024;Refactored code for better maintainability.;Tom Braun;0.03374;0.02941;Schattenspringer AG;abgerechnet;00:09
Adlerflug GmbH / Flight Dynamics;4022813;08.02.2024;Added a new feature to improve user experience.;Anna Becker;0.03192;0;Adlerflug GmbH;abgerechnet;00:03
Mondschein KG / Innovation;5919774;27.02.2024;Improved security protocols to protect data.;Lukas Fischer;0.10543;0.25442;Mondschein KG;abgerechnet;01:25
Wolkenbruch AG / IT Infrastructure;3432941;26.02.2024;Fixed compatibility issues with legacy systems.;Simon Seidel;0.89737;0.82044;Wolkenbruch AG;abgerechnet;06:29
Blitz & Co KG / Electrical Systems;7824544;06.02.2024;Updated UI for a more modern look.;Liam Scholz;0.02899;0.037;Blitz & Co KG;abgerechnet;00:06
Silberfuchs GmbH / AI Implementation;4227374;02.02.2024;Developed new analytics dashboard for insights.;Simon Seidel;0.09964;0;Silberfuchs GmbH;abgerechnet;00:28
Fels & Stein GmbH / Geological Surveys;7620229;16.02.2024;Added a new feature to improve user experience.;Sophie Schmidt;0.03542;0.03341;Fels & Stein GmbH;abgerechnet;00:21
Seeblick GmbH / Eco-Tourism;3992394;02.02.2024;Developed new analytics dashboard for insights.;Tim Neumann;0.26921;0.59927;Seeblick GmbH;abgerechnet;04:40
Weitblick KG / Retirement Planning;9430154;07.02.2024;Automated deployment processes for CI/CD pipeline.;Julia Weber;0.03473;0.03737;Weitblick KG;abgerechnet;00:16
Himmelsstürmer KG / Aviation Training;2212899;12.02.2024;Upgraded server infrastructure for scalability.;Ben Richter;0.18123;0.24061;Himmelsstürmer KG;abgerechnet;02:02
